Mass,logT,logg,logR,logtau,logL
0.1554,3.983757,5.474979,-0.9229112958763749,9.097119109943673,-0.955466
0.1554,3.983755,5.4771494,-0.9239963572134412,9.098785800419726,-0.957644
0.1554,3.983752,5.4793318,-0.9250877911653581,9.100454717042199,-0.95984
0.1554,3.983752,5.48149,-0.9261665860225481,9.102116691658573,-0.961996
0.1554,3.983753,5.4836709,-0.9272572501381345,9.103790236661073,-0.964176
0.1554,3.983744,5.4858519,-0.9283477142499355,9.105457770202385,-0.966391
0.1554,3.983734,5.4880242,-0.9294339091323839,9.107119588876733,-0.968604
0.1554,3.983725,5.490193,-0.9305183864070062,9.108782535419678,-0.970809
0.1554,3.983715,5.4923716,-0.9316074335839785,9.11044922653838,-0.973027
0.1554,3.983706,5.494537,-0.932690291861324,9.112112194005999,-0.975227
0.1554,3.983687,5.4967103,-0.9337769754773458,9.113781486635537,-0.977475
0.1554,3.983667,5.4988951,-0.9348693754839177,9.115451481514238,-0.97974
0.1554,3.98365,5.5010602,-0.9359517886583872,9.117113395234815,-0.981974
0.1554,3.983634,5.503232,-0.9370376576916718,9.118782253863825,-0.98421
0.1554,3.983608,5.505425,-0.9381341577592259,9.120452733617196,-0.986508
0.1554,3.983581,5.5075817,-0.9392126664397532,9.122109050078626,-0.988772
0.1554,3.983555,5.5097539,-0.9402987807797271,9.123779164824152,-0.991047
0.1554,3.983529,5.5119352,-0.9413895154926574,9.125451103280563,-0.993335
0.1554,3.983501,5.5140997,-0.9424715839406671,9.127117792929692,-0.995608
0.1554,3.983465,5.5162724,-0.9435578806189712,9.128792319468923,-0.997925
0.1554,3.983429,5.5184547,-0.9446491952039299,9.13046862906089,-1.000255
0.1554,3.983395,5.5206211,-0.9457321437329057,9.13213941971468,-1.002558
0.1554,3.983359,5.5228146,-0.9468289425249437,9.133816831445396,-1.004893
0.1554,3.983315,5.524969,-0.9479061758756051,9.135479915449814,-1.007226
0.1554,3.98327,5.5271432,-0.9489934250190859,9.137159339715604,-1.009577
0.1554,3.983227,5.5293168,-0.9500803057992432,9.138839686403411,-1.011924
0.1554,3.983184,5.5314962,-0.9511699134716499,9.14052136333935,-1.014277
0.1554,3.983133,5.533665,-0.952254091006453,9.142199963795345,-1.016647
0.1554,3.98308,5.5358407,-0.9533421520340839,9.143883924012156,-1.019037
0.1554,3.983026,5.5380214,-0.9544325548506233,9.145568048590391,-1.021433
0.1554,3.982974,5.5401873,-0.9555155098409667,9.147248452291938,-1.023804
0.1554,3.982917,5.5423644,-0.9566039229995886,9.148936429091208,-1.02621
0.1554,3.982857,5.544522,-0.9576828574000985,9.15062354058561,-1.02861
0.1554,3.982794,5.5467136,-0.9587786975669053,9.152325227660091,-1.031051
0.1554,3.982733,5.5488901,-0.959866618783202,9.15401490046889,-1.033475
0.1554,3.982668,5.5510628,-0.9609533025868817,9.155704333412313,-1.035905
0.1554,3.982595,5.5532399,-0.9620415184489901,9.157396721895282,-1.038374
0.1554,3.982524,5.5554177,-0.963130473177451,9.159088861459244,-1.040838
0.1554,3.982454,5.5575913,-0.9642173658458734,9.16078012554553,-1.043291
0.1554,3.982381,5.5597655,-0.96530457976696,9.162473726276103,-1.045755
0.1554,3.9823,5.5619406,-0.9663921105232284,9.164169287030298,-1.048255
0.1554,3.98222,5.5641181,-0.9674807595836707,9.165866518600236,-1.050755
0.1554,3.982141,5.5662918,-0.9685677007053015,9.167563384013004,-1.053244
0.1554,3.982059,5.5684669,-0.9696553440892877,9.169262920908595,-1.055745
0.1554,3.981969,5.5706422,-0.9707428761814421,9.170964065147334,-1.058283
0.1554,3.981877,5.5728344,-0.9718388367787917,9.172667051619165,-1.06084
0.1554,3.98179,5.5749934,-0.9729183917759641,9.174358643361911,-1.063347
0.1554,3.981698,5.5771703,-0.9740067728983732,9.176064807838216,-1.065892
0.1554,3.981599,5.5793449,-0.9750941976361798,9.177771586428968,-1.068464
0.1554,3.981501,5.5815192,-0.9761814741689819,9.179481102167088,-1.071031
0.1554,3.981404,5.5836945,-0.9772690066869784,9.181193496478437,-1.073593
0.1554,3.981302,5.5858702,-0.9783567902752153,9.18290799221714,-1.076177
0.1554,3.981193,5.5880466,-0.9794452341957213,9.184624397327605,-1.078789
0.1554,3.981085,5.5902235,-0.9805335060531114,9.186342554389956,-1.081398
0.1554,3.980979,5.5923991,-0.9816211813904631,9.188061988562017,-1.083998
0.1554,3.980865,5.5945759,-0.9827095008902127,9.18978356408816,-1.08663
0.1554,3.980747,5.5967528,-0.9837980441619462,9.191506757797402,-1.089279
0.1554,3.980631,5.5989295,-0.98488638658922,9.193231604195208,-1.091922
0.1554,3.980516,5.6011063,-0.9859749402890794,9.194958208279001,-1.094558
0.1554,3.98039,5.6032832,-0.9870632784428385,9.196686413054394,-1.097238
0.1554,3.980263,5.605461,-0.9881522377763348,9.198416648012827,-1.099924
0.1554,3.980137,5.6076384,-0.9892409687715095,9.200148189329205,-1.102603
