Mass,logT,logg,logR,logtau,logL
0.2,4.209488819361393,6.78158715,-1.5212448170246813,5.698970004336019,-1.2498302797243315
0.2,4.16301609767024,6.80552165,-1.533212070069314,6.0,-1.4596554857153152
0.2,4.137578379849582,6.81841342,-1.5396578623206585,6.176091259055681,-1.5742981038384558
0.2,4.120797518848838,6.82694998,-1.5439261118673944,6.301029995663981,-1.6499582196148779
0.2,4.108505578144164,6.83325438,-1.547078375155679,6.3979400086720375,-1.7054304123089177
0.2,4.096086258120962,6.83971362,-1.5503079872532606,6.503974300428623,-1.7615668896132441
0.2,4.084066871781998,6.8460555,-1.5534789531253468,6.612830673259914,-1.815986324982471
0.2,4.072526515026835,6.85224162,-1.556572037992686,6.722550098899991,-1.868333912933331
0.2,4.061463739684414,6.85826751,-1.5595849486528568,6.83195649659592,-1.9186108317205877
0.2,4.050997538525462,6.86408009,-1.5624912325721945,6.939455301791857,-1.9662882978195624
0.2,4.041399199526596,6.86955632,-1.5652294073289343,7.041853976678391,-2.0101578108605116
0.2,4.033927566445155,6.87398667,-1.5674446194773943,7.123048924209648,-2.044474731364326
0.2,4.0292172932862975,6.8769862,-1.568944311082184,7.174919690909617,-2.0663153398466783
0.2,4.0256782360127055,6.87932075,-1.570111519082038,7.214776845011098,-2.082806149558152
0.2,4.022379338096607,6.88154548,-1.5712239543858,7.2529423069257755,-2.0982264902314394
0.2,4.01913333772938,6.88381485,-1.5723586013144863,7.29187789328564,-2.113479807759941
0.2,4.016067945439948,6.88604284,-1.5734726064921218,7.3297331838938975,-2.1279693802577926
0.2,4.013183640855752,6.88820934,-1.5745559590882814,7.3660763173054455,-2.141673101060199
0.2,4.010430564635714,6.89034331,-1.5756227541257188,7.401532187883736,-2.1548193099220496
0.2,4.00772534598345,6.89249882,-1.576700655401854,7.436869351322438,-2.1677956793869497
0.2,4.005072320221053,6.89467719,-1.577789739257146,7.472121798898816,-2.180586210030374
0.2,4.0024392917830856,6.89689001,-1.5788962382738312,7.50746361570552,-2.1933312164675187
0.2,3.999783028745296,6.89915875,-1.580030484879308,7.543283496641076,-2.2062249370793827
0.2,3.9970755079306275,6.90151642,-1.5812093490492174,7.579998976122068,-2.2194127821878125
0.2,3.9943009378262544,6.90397958,-1.5824410630368984,7.6173199649213625,-2.2329740899057726
0.2,3.9915512493569345,6.9064777,-1.5836901629456537,7.654108744276932,-2.2464709692576306
0.2,3.988811915467002,6.90900731,-1.58495486859094,7.690362763939589,-2.2599579825004743
0.2,3.9860332045341056,6.91161086,-1.5862567349599992,7.7265501959188825,-2.273676339853403
0.2,3.983203715568136,6.91424738,-1.5875748325086527,7.762416482830094,-2.287630941020295
0.2,3.98020477385019,6.91702624,-1.5889642927256238,7.7991210029174045,-2.3024053950159766
0.2,3.977097092964352,6.91989913,-1.5904007508558835,7.835881112054627,-2.3177091822358626
0.2,3.9738879610853757,6.92285879,-1.5918805131819471,7.872338754676801,-2.3335052483973753
0.2,3.9706173239882054,6.92586396,-1.5933832020345167,7.907889251670891,-2.349592995629312
0.2,3.967344076709012,6.92888262,-1.5948925820396533,7.942297072871472,-2.365704659756189
0.2,3.964028411764931,6.93193203,-1.596417331674067,7.975695981403535,-2.3820166988152653
0.2,3.9606823173225743,6.93498524,-1.5979437431501486,8.007905597021912,-2.3984542508327946
0.2,3.957324261818765,6.93803825,-1.5994703258192298,8.039089566075727,-2.4149396313277163
0.2,3.953883696744567,6.94111377,-1.601008022710156,8.069493826260437,-2.4317774257848295
0.2,3.950378491592995,6.94419583,-1.6025491835686867,8.09912343404812,-2.448880285825941
0.2,3.946778339977664,6.94728807,-1.604095331205981,8.128100911936395,-2.4663731500034363
0.2,3.94308375514578,6.95039062,-1.6056464994666777,8.156565202365387,-2.484253808613319
0.2,3.9392829071624234,6.95350967,-1.6072060073501986,8.184594626292034,-2.502576357771002
0.2,3.935388791060082,6.95662671,-1.6087645421476968,8.21212791811625,-2.5212699531673786
0.2,3.9313768575502293,6.95975873,-1.6103304716618432,8.239278201930784,-2.5404495747274436
0.2,3.9272797318277557,6.96287969,-1.6118910847037626,8.265894670124174,-2.559959117938
0.2,3.9230943478168943,6.9659886,-1.6134455343842193,8.291977013990078,-2.5798096459907764
0.2,3.91883934270152,6.96907074,-1.614986531194143,8.317458869338484,-2.5999116758680345
0.2,3.914518098650606,6.97212159,-1.6165121045996078,8.342329494918516,-2.6202475359287813
0.2,3.910148789499259,6.97513134,-1.6180168913057673,8.36655668065759,-2.64073452989701
0.2,3.905746421930444,6.97809384,-1.6194980566289927,8.39014825109043,-2.6613064667008883
0.2,3.9013139285368683,6.98100896,-1.62095560114291,8.413129366490036,-2.681951555875265
0.2,3.8968580834388367,6.98387459,-1.6223884843258658,8.435497651711787,-2.7026406142366852
0.2,3.8923864785411837,6.9866871,-1.6237948700965918,8.457247848406855,-2.7233394900916097
0.2,3.8879097149560358,6.98944417,-1.6251731682092034,8.478383649431137,-2.7440036440375715
0.2,3.8834304766914536,6.99214874,-1.6265254735736134,8.498922821896745,-2.764625136288371
0.2,3.8789539102732795,6.99480021,-1.6278512640984755,8.518876884684841,-2.7851828555139684
0.2,3.874485951884937,6.99739967,-1.629151080758364,8.538266754064022,-2.805654165299179
0.2,3.870029161729213,6.99994721,-1.6304246776006344,8.557111705626836,-2.8260288808698064
0.2,3.8655852888641293,7.00245043,-1.631676356431901,8.575451113896394,-2.8463076015290616
0.2,3.861164900289905,7.00490394,-1.6329032356690467,8.593268672734968,-2.8664426560614884
0.2,3.856765661911045,7.00731256,-1.6341075138358574,8.610607682669228,-2.886448233782526
0.2,3.852391436111429,7.0096772,-1.6352898015128594,8.627484144757423,-2.9063097726824214
0.2,3.848045991838142,7.01199665,-1.6364496392977386,8.643911996031715,-2.926010980917411
0.2,3.843727062792466,7.01427246,-1.6375873802771777,8.659925132949818,-2.9455625615128653
0.2,3.839435671741093,7.01650218,-1.638702298899646,8.675539872366306,-2.9649578447381826
0.2,3.8351720060530177,7.01869076,-1.639796662668468,8.69077985789,-2.9842011137217868
0.2,3.8309506693337205,7.02083006,-1.6408662129967533,8.705611953705345,-3.003225706279123
0.2,3.826771053586982,7.02291677,-1.6419096645796758,8.720053984565268,-3.0220309299526438
0.2,3.82262821383909,7.02495848,-1.6429303890157265,8.734144935058866,-3.0406439234189406
0.2,3.8185341596661164,7.02694988,-1.6439260200568246,8.747861407829708,-3.0590116184158234
0.2,3.814490286535167,7.02889333,-1.6448977572180792,8.761219390952865,-3.077130480432597
0.2,3.8105003130909436,7.03079551,-1.6458490251783247,8.774230601933736,-3.09499265743594
0.2,3.8065775242861,7.03265431,-1.6467783004923982,8.786870481990984,-3.112542473076428
0.2,3.802726217032598,7.03447866,-1.6476904298200852,8.79914803850777,-3.129772118690091
0.2,3.798963521637881,7.03626574,-1.6485841890038608,8.811026631105072,-3.146609997762307
0.2,3.795294423065345,7.03802188,-1.649462245470593,8.822513088674414,-3.163042437234837
0.2,3.7917310877414607,7.0397501,-1.6503261744110223,8.833589917484298,-3.179024118682919
0.2,3.788284561200492,7.04145258,-1.6511775654424408,8.84423964678015,-3.1945126355668516
0.2,3.784959950546208,7.04313458,-1.6520185824730922,8.854462481116276,-3.2094931369986197
0.2,3.7817656324952034,7.04480129,-1.6528519687062255,8.864249179488374,-3.223937120679685
0.2,3.7787091484935216,7.04646074,-1.6536816140502135,8.873594173481129,-3.2378223641052903
0.2,3.775797580232947,7.04811575,-1.6545091844944435,8.882488961917023,-3.251123702595305
0.2,3.7728514721734037,7.04988875,-1.6553956442584177,8.891502612365697,-3.264681275427357
0.2,3.768574276724909,7.0526866,-1.6567945844411536,8.904681741466101,-3.284587882029423
0.2,3.762449850094526,7.05711789,-1.659010076069243,8.923729607531714,-3.3135168946785485
0.2,3.755960913644916,7.06205157,-1.661477076956507,8.943851499690206,-3.34440623872358
0.2,3.7497016169903583,7.06711851,-1.664010582161777,8.963245848555948,-3.3745104171400526
0.2,3.7436562164296254,7.07247573,-1.6666890402423848,8.982122371191945,-3.4040490562789896
0.2,3.7378285456081533,7.07775873,-1.6693304739401844,9.000313881455938,-3.432642934806138
0.2,3.732009520767335,7.08282498,-1.6718637191635448,9.018374655598386,-3.4609852221114186
0.2,3.7261930325060986,7.08779055,-1.6743463497340445,9.036762196921659,-3.4892165958149275
0.2,3.7206452014117204,7.09273163,-1.6768171517322883,9.055515938105266,-3.5163489957102647
0.2,3.715402365554914,7.09739426,-1.679148191686761,9.074464622009483,-3.5419833257419233
0.2,3.710288230183798,7.10171445,-1.681308362503421,9.093932381266512,-3.5667599319983347
0.2,3.7052486219855254,7.10583973,-1.6833709165543502,9.114222881161512,-3.5910435735241073
0.2,3.70047273564575,7.10978408,-1.6853431784044457,9.135065513487463,-3.614091479528642
0.2,3.695925769386518,7.11355053,-1.687226602888632,9.156320738389953,-3.636045785159842
0.2,3.6914247056187968,7.11709341,-1.6889980275204326,9.17774652646762,-3.657592893330597
0.2,3.686821769893776,7.12036463,-1.6906333850263675,9.199001087824819,-3.6792758729582435
0.2,3.682144489489,7.12337956,-1.6921409386672996,9.219777794017098,-3.700999916885613
0.2,3.6775112514095203,7.12617594,-1.6935390599815294,9.239860070439006,-3.722329244559497
