Mass,logT,logg,logR,logtau,logL
0.2,4.23410380087511,6.88931047,-1.5751063947273105,5.698970004336019,-1.2590936998153357
0.2,4.186646752210553,6.90553975,-1.5832210304924361,6.0,-1.4651509855797729
0.2,4.160656242624168,6.9145487,-1.5877255616039703,6.176091259055681,-1.5781219838298732
0.2,4.143496434368988,6.92064103,-1.5907716179682763,6.301029995663981,-1.6528536373804208
0.2,4.130915327113758,6.92521103,-1.5930568110653542,6.3979400086720375,-1.7077480384059234
0.2,4.118378464595359,6.92989105,-1.5953966307992755,6.502177397160076,-1.7625755079367451
0.2,4.106125258401987,6.93459068,-1.5977466525901463,6.610154362660761,-1.816287955686221
0.2,4.09423065579943,6.93927651,-1.6000893250860582,6.719909077712461,-1.8685522176758529
0.2,4.0827925594457675,6.94391036,-1.6024064663941155,6.829850703683526,-1.918938485964523
0.2,4.071921184053962,6.94846253,-1.6046825249565004,6.938989339784967,-1.9669761369759473
0.2,4.061609188895284,6.95294368,-1.6069230995795634,7.047090593954863,-2.0127052977314595
0.2,4.051895988510109,6.95733724,-1.609119709025172,7.152748391616043,-2.0559516279788728
0.2,4.043247345743456,6.96147439,-1.6111884845239721,7.251023203747532,-2.094683278393641
0.2,4.036831541454199,6.9647774,-1.6128399809065397,7.325666080532583,-2.123649567470175
0.2,4.0326141882456,6.96713295,-1.6140177945433254,7.375270468133291,-2.142874602947696
0.2,4.029348984027018,6.96902639,-1.6149644085909782,7.414622095579669,-2.157828814903253
0.2,4.026090405704626,6.97099281,-1.6159476364189738,7.4549838120115846,-2.1728294823503074
0.2,4.0229475478765355,6.9729753,-1.6169387801681407,7.494673488528682,-2.1873834655365623
0.2,4.019986525436498,6.97491485,-1.617908622998765,7.532268487090696,-2.2011670398359895
0.2,4.017206229251152,6.97680273,-1.618852604568364,7.567853209665148,-2.2141760927367296
0.2,4.0144956060108665,6.97869372,-1.6197981222203448,7.602421716522169,-2.2269095314903256
0.2,4.011852237607322,6.98059418,-1.6207483096936444,7.636160095983471,-2.2393835489992733
0.2,4.0092220149984925,6.98252719,-1.6217146885726605,7.669310928737996,-2.251837500457304
0.2,4.006631842628314,6.98446761,-1.6226850555291776,7.701680213660505,-2.2641386132032104
0.2,4.004009128527782,6.98648629,-1.623694337781238,7.733940147949775,-2.2766481414993103
0.2,4.001494317706119,6.98857558,-1.62473885579217,7.764946862727853,-2.2887965792254223
0.2,3.9992291993498816,6.99047919,-1.625690698410732,7.792134188623155,-2.299760735360305
0.2,3.9970445291622703,6.99236043,-1.6266314197106149,7.817893907690863,-2.3103805928190546
0.2,3.994942847008988,6.99421791,-1.6275601483510878,7.842015797737857,-2.3206447377670383
0.2,3.9929671861695217,6.99602208,-1.628462208209642,7.864347359153456,-2.3303516355638596
0.2,3.9910616862805113,6.99783713,-1.6293698683124203,7.885419517890752,-2.339788726237551
0.2,3.989270656491656,6.99956436,-1.6302333332016699,7.90481034417514,-2.3486799499965616
0.2,3.987481985784246,7.00131648,-1.6311094641203256,7.923969999647843,-2.3575869109574343
