Mass,logT,logg,logR,logtau,logL
0.2,4.356409770224673,6.84428215,-1.552592338254642,4.86375889365481,32.85813056296526
0.2,4.23410380087511,6.88931047,-1.5751063947273105,5.698970004336019,32.32387822928947
0.2,4.186646752210553,6.90553975,-1.5832210304924361,6.0,32.11782094352503
0.2,4.160656242624168,6.9145487,-1.5877255616039703,6.176091259055681,32.004849945274934
0.2,4.143496434368988,6.92064103,-1.5907716179682763,6.301029995663981,31.930118291724384
0.2,4.130915327113758,6.92521103,-1.5930568110653542,6.3979400086720375,31.875223890698884
0.2,4.118378464595359,6.92989105,-1.5953966307992755,6.502177397160076,31.82039642116806
0.2,4.106125258401987,6.93459068,-1.5977466525901463,6.610154362660761,31.766683973418584
0.2,4.09423065579943,6.93927651,-1.6000893250860582,6.719909077712461,31.714419711428953
0.2,4.0827925594457675,6.94391036,-1.6024064663941155,6.829850703683526,31.664033443140283
0.2,4.071921184053962,6.94846253,-1.6046825249565004,6.938989339784967,31.61599579212886
0.2,4.061609188895284,6.95294368,-1.6069230995795634,7.047090593954863,31.570266631373347
0.2,4.051895988510109,6.95733724,-1.609119709025172,7.152748391616043,31.527020301125933
0.2,4.043247345743456,6.96147439,-1.6111884845239721,7.251023203747532,31.488288650711166
0.2,4.036831541454199,6.9647774,-1.6128399809065397,7.325666080532583,31.45932236163463
0.2,4.0326141882456,6.96713295,-1.6140177945433254,7.375270468133291,31.440097326157108
0.2,4.029348984027018,6.96902639,-1.6149644085909782,7.414622095579669,31.425143114201553
0.2,4.026090405704626,6.97099281,-1.6159476364189738,7.4549838120115846,31.4101424467545
0.2,4.0229475478765355,6.9729753,-1.6169387801681407,7.494673488528682,31.395588463568245
0.2,4.019986525436498,6.97491485,-1.617908622998765,7.532268487090696,31.381804889268818
0.2,4.017206229251152,6.97680273,-1.618852604568364,7.567853209665148,31.368795836368076
0.2,4.0144956060108665,6.97869372,-1.6197981222203448,7.602421716522169,31.35606239761448
0.2,4.011852237607322,6.98059418,-1.6207483096936444,7.636160095983471,31.343588380105533
0.2,4.0092220149984925,6.98252719,-1.6217146885726605,7.669310928737996,31.331134428647502
0.2,4.006631842628314,6.98446761,-1.6226850555291776,7.701680213660505,31.318833315901596
0.2,4.004009128527782,6.98648629,-1.623694337781238,7.733940147949775,31.306323787605496
0.2,4.001494317706119,6.98857558,-1.62473885579217,7.764946862727853,31.294175349879385
0.2,3.9992291993498816,6.99047919,-1.625690698410732,7.792134188623155,31.2832111937445
0.2,3.9970445291622703,6.99236043,-1.6266314197106149,7.817893907690863,31.27259133628575
0.2,3.994942847008988,6.99421791,-1.6275601483510878,7.842015797737857,31.262327191337768
0.2,3.9929671861695217,6.99602208,-1.628462208209642,7.864347359153456,31.252620293540947
0.2,3.9910616862805113,6.99783713,-1.6293698683124203,7.885419517890752,31.243183202867254
0.2,3.989270656491656,6.99956436,-1.6302333332016699,7.90481034417514,31.234291979108246
0.2,3.987481985784246,7.00131648,-1.6311094641203256,7.923969999647843,31.22538501814737
0.2,3.9856629227969607,7.00310603,-1.632004219920766,7.943060499267578,31.216319264319388
0.2,3.9837884295381385,7.00494007,-1.6329211974471618,7.962141614737677,31.2069871554608
0.2,3.9818835155326755,7.00679996,-1.6338511303792664,7.981204454793596,31.19750771055384
0.2,3.9798949026560972,7.00872192,-1.6348121380844414,8.000497850308141,31.187631254455447
0.2,3.9778655049696146,7.01065385,-1.6357782454900616,8.019786124817177,31.17758180270558
0.2,3.9757365854595546,7.01265783,-1.6367800456176904,8.039538638736577,31.167062000906412
0.2,3.973520684668171,7.01470324,-1.637802869004783,8.059413831270572,31.156153138973863
0.2,3.9712228161024767,7.0167813,-1.6388419671067014,8.079327795706403,31.144883551687936
0.2,3.968844229316631,7.01888124,-1.6398917301371794,8.099246129335233,31.133269306659614
0.2,3.9663778683885216,7.02101727,-1.6409598763003679,8.119232457864534,31.121267918586685
0.2,3.963843012282634,7.02316729,-1.6420347626815475,8.139112730589282,31.108978488964528
0.2,3.961229093470189,7.02535409,-1.643128234836509,8.158987847927873,31.09633601770636
0.2,3.958564943873862,7.02754453,-1.6442233664580892,8.178669380925765,31.083489003123145
0.2,3.9558214279917436,7.02976786,-1.6453350596383811,8.198313913738154,31.07029134667531
0.2,3.9530305328557476,7.03198546,-1.6464437977773037,8.217707614067294,31.05691018474473
0.2,3.950165904862427,7.03421515,-1.6475587010971946,8.237020409757815,31.043221944825778
0.2,3.947231997706977,7.03644389,-1.6486731379790907,8.256195123997422,31.029257529819446
0.2,3.944225557879681,7.03866677,-1.6497845890871528,8.275251908576276,31.015009160085437
0.2,3.9411401658734744,7.04089021,-1.6508963771383887,8.294221453198817,31.00044405615897
0.2,3.93798257412886,7.04309851,-1.6520003735130644,8.313038318813119,30.985605409657534
0.2,3.9347331189492287,7.04531125,-1.6531069026038687,8.331820514341196,30.970394859864594
0.2,3.9314038856485256,7.04751775,-1.6542100638138812,8.350484876883032,30.9548713948461
0.2,3.928005749287058,7.04971336,-1.6553078483165002,8.369015924577194,30.93908324177577
0.2,3.9245360539671488,7.05189892,-1.6564007741125635,8.387425778737992,30.92301888380242
0.2,3.92100096132387,7.05407193,-1.6574870952698002,8.405686080207806,30.90670554274606
