Mass,logT,logg,logR,logtau,logL
0.2,4.252965559326711,6.42503261,-1.3429674935164426,5.6020599913279625,-0.7194040294594886
0.2,4.250929489428985,6.43176039,-1.3463313835164428,5.903089986991944,-0.7342761228984602
0.2,4.2491918368081105,6.4380237,-1.3494630385164423,6.079181246047625,-0.7474900593037792
0.2,4.247614354048725,6.4439639,-1.3524331385164428,6.204119982655925,-0.759740150869373
0.2,4.246139228282815,6.44964987,-1.3552761235164428,6.301029995663981,-0.7713266241538663
0.2,4.244736049996458,6.45512281,-1.3580125935164427,6.380211241711606,-0.7824123111135133
0.2,4.2433638508088665,6.46044598,-1.360674178516443,6.447158031342219,-0.793224228978844
0.2,4.241924707368467,6.4660546,-1.3634784885164424,6.5100931894246346,-0.8045894784611562
0.2,4.240424380653687,6.47188713,-1.3663947535164427,6.5689950536750095,-0.8164233118259249
0.2,4.2388696528816325,6.47788817,-1.3693952735164427,6.624021028062976,-0.828643244134454
0.2,4.237262640063766,6.484026,-1.3724641885164428,6.675546106128557,-0.8412091225851311
0.2,4.2356067138600935,6.49026708,-1.3755847285164426,6.723876216789012,-0.8540738748780958
0.2,4.233901259700985,6.49659605,-1.3787492135164428,6.769399335680935,-0.8672247276981124
0.2,4.232150386599341,6.50298242,-1.381942398516443,6.812334356975331,-0.8806145567612983
0.2,4.230352757934295,6.50941521,-1.3851587935164429,6.8529905384119365,-0.8942378912677035
0.2,4.22851080227523,6.51587732,-1.388389848516443,6.891579825799217,-0.9080678201295463
0.2,4.2266240265674835,6.52236284,-1.391632608516443,6.928344635264862,-0.9221003823994861
0.2,4.224695821317748,6.52885185,-1.3948771135164426,6.963413181218114,-0.9363022177081815
0.2,4.2227254378057575,6.53534045,-1.3981214135164426,6.996974526934973,-0.9506723883649816
0.2,4.22071461962168,6.54181778,-1.4013600785164426,7.029155205589882,-0.9651929690490697
0.2,4.218661857601224,6.5482861,-1.404594238516443,7.060123436653146,-0.9798723961847446
0.2,4.216573578082462,6.55472581,-1.4078140935164427,7.089920646899094,-0.994665143892633
0.2,4.214979800660899,6.55955805,-1.4102302135164426,7.11164285894506,-1.005872550252956
0.2,4.212714406364602,6.56627968,-1.4135910285164428,7.141127303727312,-1.021655718278282
0.2,4.210526957908734,6.57263574,-1.4167690585164427,7.168258172608202,-1.036761652744888
0.2,4.208316774529162,6.57893065,-1.4199165135164429,7.194492695995065,-1.0518972217104863
0.2,4.206069159022381,6.5852092,-1.423055788516443,7.220091605466823,-1.0671662802769142
0.2,4.203788356381236,6.59146234,-1.4261823585164426,7.245078403045295,-1.0825426450792197
0.2,4.201473460572032,6.59769586,-1.4292991185164428,7.269529755291842,-1.098035638563881
0.2,4.1991118464615225,6.60394458,-1.432423478516443,7.293624378551658,-1.1137309312486223
0.2,4.196716844934729,6.61017522,-1.435538798516443,7.317278181249217,-1.129541512726421
0.2,4.194285762365826,6.61640089,-1.438651633516443,7.340580529305612,-1.14549153708973
0.2,4.191781346661956,6.62270461,-1.441803493516443,7.363849179016447,-1.1618128883527123
0.2,4.189204031370916,6.6290652,-1.4449837885164427,7.387003239034226,-1.1784827069881674
0.2,4.186568055727973,6.63543937,-1.448170873516443,7.409900845771532,-1.1954007692848962
0.2,4.18386557172396,6.64183444,-1.4513684085164429,7.432581618245926,-1.2126057880194134
