Mass,logT,logg,logR,logtau,logL
0.2,3.4,7.0486,-1.6556077263148892,10.091438321379874,-4.7572
0.2,3.42,7.0468,-1.6556077263148892,10.057631876200864,-4.6754
0.2,3.44,7.0449,-1.6536470255493614,10.024641624479044,-4.5935
0.2,3.46,7.0429,-1.6536470255493614,9.992018604289685,-4.5115
0.2,3.48,7.0405,-1.6516951369518393,9.958506546832432,-4.4291
0.2,3.5,7.0377,-1.6497519816658373,9.92454805184604,-4.3463
0.2,3.52,7.034,-1.6478174818886375,9.887150126330619,-4.2626
0.2,3.54,7.0295,-1.645891560852599,9.84791798333516,-4.1782
0.2,3.56,7.025,-1.6439741428068773,9.809350933777878,-4.0936
0.2,3.58,7.0199,-1.6420651529995463,9.771278735489354,-4.0085
0.2,3.6,7.0123,-1.6382721639824072,9.725731999687966,-3.9209
0.2,3.62,7.002,-1.632644078973981,9.674208750169552,-3.8306
0.2,3.64,6.9874,-1.6252516539898962,9.61440150020334,-3.736
0.2,3.66,6.9665,-1.6143937264016879,9.549003262025789,-3.6351
0.2,3.68,6.9405,-1.6020599913279623,9.503286663558915,-3.5291
0.2,3.7,6.9102,-1.586700235918748,9.44966349415333,-3.4188
0.2,3.72,6.8832,-1.5718652059712113,9.399344848180368,-3.3118
0.2,3.74,6.8628,-1.562249437179612,9.351042205739445,-3.2114
0.2,3.76,6.8462,-1.5528419686577808,9.302027726021775,-3.1148
0.2,3.78,6.8312,-1.5451551399914898,9.250078287979646,-3.0198
0.2,3.8,6.8168,-1.5391021572434522,9.194208979646682,-2.9255
0.2,3.82,6.8026,-1.5316526695878427,9.135323508106676,-2.8312
0.2,3.84,6.7885,-1.5243288116755704,9.074560467802895,-2.7371
0.2,3.86,6.7741,-1.5171264163912463,9.011950866059399,-2.6427
0.2,3.88,6.7601,-1.5100415205751654,8.96004245572684,-2.5487
0.2,3.9,6.7454,-1.5030703519267852,8.894149846767922,-2.454
0.2,3.92,6.7302,-1.494850021680094,8.827304641089736,-2.3588
0.2,3.94,6.7146,-1.486782399932061,8.760874638052188,-2.2633
0.2,3.96,6.6986,-1.4788619162959638,8.690639011715968,-2.1672
0.2,3.98,6.6822,-1.4710832997223453,8.621176281775035,-2.0708
0.2,4.0,6.6679,-1.4634415574284698,8.550717423469283,-1.9765
0.2,4.02,6.654,-1.45717457304082,8.476686742945645,-1.8826
0.2,4.04,6.6416,-1.4509967379742121,8.396722278503773,-1.7902
0.2,4.06,6.6305,-1.4449055514216809,8.302763708472982,-1.6991
0.2,4.08,6.6214,-1.4400933749638876,8.177824971864682,-1.61
0.2,4.1,6.6149,-1.4377071355435254,7.999565488225982,-1.5235
0.2,4.12,6.608,-1.4341521813264824,7.779596491257824,-1.4366
0.2,4.14,6.5955,-1.4282911681913124,7.555094448578319,-1.3441
0.2,4.16,6.58,-1.4202164033831899,7.278753600952829,-1.2486
0.2,4.18,6.5632,-1.4111682744057927,6.986771734266245,-1.1518
0.2,4.2,6.5439,-1.401209493236885,6.799340549453582,-1.0526
0.2,4.22,6.5227,-1.3904055907747799,6.672097857935717,-0.9513
0.2,4.24,6.5,-1.3788237182249647,6.57978359661681,-0.8486
0.2,4.26,6.4756,-1.3665315444204136,6.518513939877887,-0.7442
0.2,4.28,6.4495,-1.3535962737769305,6.447158031342219,-0.6381
0.2,4.3,6.4211,-1.3391345219961308,6.3979400086720375,-0.5297
0.2,4.32,6.3901,-1.322393047279507,6.361727836017593,-0.4188
0.2,4.34,6.3561,-1.3053948010664311,6.3222192947339195,-0.3047
0.2,4.36,6.3182,-1.285670240254767,6.278753600952829,-0.1868
0.2,4.38,6.2753,-1.2636034977233574,6.2552725051033065,-0.0639
0.2,4.4,6.2254,-1.2373214362725637,6.204119982655925,0.066
0.2,4.42,6.1653,-1.2055119533408303,6.146128035678238,0.2061
0.2,4.44,6.0883,-1.1643094285075744,6.079181246047625,0.3631
0.2,4.46,5.9835,-1.106793246940152,5.845098040014257,0.5479
0.3,3.4,7.3922,-1.739928612014925,10.257116748036712,-4.9235
0.3,3.42,7.3913,-1.739928612014925,10.226336929241292,-4.8426
0.3,3.44,7.3903,-1.7375489102695705,10.19467803865998,-4.7616
0.3,3.46,7.3892,-1.7375489102695705,10.162325389190677,-4.6805
0.3,3.48,7.388,-1.7375489102695705,10.129619007493405,-4.5993
0.3,3.5,7.3866,-1.7375489102695705,10.095629564306662,-4.5179
0.3,3.52,7.385,-1.7351821769904636,10.060746931737757,-4.4363
0.3,3.54,7.3831,-1.7351821769904636,10.023885943840229,-4.3544
0.3,3.56,7.3807,-1.7328282715969863,9.983874255743606,-4.272
0.3,3.58,7.3777,-1.7328282715969863,9.939723871921972,-4.1891
0.3,3.6,7.3739,-1.7304870557820837,9.890521615909476,-4.1053
0.3,3.62,7.3689,-1.728158393463501,9.833809845726654,-4.0203
0.3,3.64,7.3623,-1.723538195826756,9.767601068050336,-3.9336
0.3,3.66,7.3534,-1.7189666327522726,9.69216807917055,-3.8447
0.3,3.68,7.3421,-1.7144426909922261,9.61653852665417,-3.7535
0.3,3.7,7.3293,-1.7077439286435239,9.556531651278892,-3.6606
0.3,3.72,7.3169,-1.7011469235902934,9.512043686267807,-3.5682
0.3,3.74,7.307,-1.6968039425795112,9.496514518697746,-3.4784
0.3,3.76,7.2986,-1.692503962086787,9.454570482102003,-3.3899
0.3,3.78,7.2913,-1.6882461389442456,9.409662661244457,-3.3026
0.3,3.8,7.2845,-1.6861327796308465,9.363687175889545,-3.2158
0.3,3.82,7.2777,-1.6819366650372385,9.314983145039124,-3.1291
0.3,3.84,7.2709,-1.6777807052660807,9.267265619762563,-3.0422
0.3,3.86,7.2642,-1.6757175447023074,9.22590344492616,-2.9555
0.3,3.88,7.2566,-1.6716203965612624,9.145507171409662,-2.8679
0.3,3.9,7.2487,-1.6675615400843946,9.078275522086601,-2.7801
0.3,3.92,7.2404,-1.6635402661514704,9.009578360794542,-2.6917
0.3,3.94,7.2314,-1.6575773191777938,8.939269586338732,-2.6028
0.3,3.96,7.2218,-1.6536470255493614,8.867054800476701,-2.5131
0.3,3.98,7.2115,-1.6478174818886375,8.792671789141567,-2.4228
0.3,4.0,7.2013,-1.6439741428068773,8.716253825896036,-2.3326
0.3,4.02,7.1902,-1.6382721639824072,8.636186895198724,-2.2415
0.3,4.04,7.1793,-1.632644078973981,8.551815822351015,-2.1506
0.3,4.06,7.1687,-1.6270879970298935,8.462397997898956,-2.0601
0.3,4.08,7.1587,-1.6216020990518623,8.368844506825821,-1.97
0.3,4.1,7.1498,-1.6179829574251317,8.273464272621347,-1.8812
0.3,4.12,7.1417,-1.6143937264016879,8.183839037056421,-1.793
0.3,4.14,7.1326,-1.609064892896621,8.105169427999332,-1.7039
0.3,4.16,7.1226,-1.6038006529042637,8.032215703297982,-1.614
0.3,4.18,7.1122,-1.5985994592184558,7.960946195733832,-1.5235
0.3,4.2,7.1013,-1.5934598195660448,7.888179493918325,-1.4326
0.3,4.22,7.09,-1.58838029403677,7.810232517995084,-1.3413
0.3,4.24,7.078,-1.5816987086802545,7.721810615212546,-1.2493
0.3,4.26,7.0646,-1.575118363368933,7.593286067020458,-1.1559
0.3,4.28,7.0391,-1.562249437179612,6.897627091290442,-1.0504
0.3,4.3,7.0251,-1.5559552040819238,6.3979400086720375,-0.9565
0.3,4.32,7.0132,-1.5497508916806388,6.113943352306837,-0.8645
0.3,4.34,7.0013,-1.5436339668709569,5.954242509439325,-0.7726
0.3,4.36,6.9889,-1.537602002101044,5.845098040014257,-0.6802
0.3,4.38,6.9759,-1.5316526695878427,5.698970004336019,-0.5872
0.3,4.4,6.9626,-1.5243288116755704,5.6020599913279625,-0.4939
0.3,4.42,6.9488,-1.5171264163912463,5.477121254719663,-0.4001
0.3,4.44,6.9346,-1.5100415205751654,5.301029995663981,-0.3059
0.3,4.46,6.9197,-1.5030703519267852,5.301029995663981,-0.211
0.3,4.48,6.9039,-1.494850021680094,5.301029995663981,-0.1152
0.3,4.5,6.8871,-1.486782399932061,5.0,-0.0184
0.3,4.52,6.8691,-1.47755576649368,5.0,0.0795
0.3,4.54,6.8499,-1.4685210829577449,5.0,0.1788
0.3,4.56,6.8292,-1.45717457304082,5.0,0.2795
0.3,4.58,6.807,-1.4461169733561257,5.0,0.3817
0.3,4.6,6.7831,-1.4341521813264824,4.0,0.4856
0.3,4.62,6.7573,-1.4213607900319276,4.0,0.5913
0.3,4.64,6.7295,-1.4078232426041333,4.0,0.6992
0.3,4.66,6.6992,-1.3925449767853315,4.0,0.8095
0.3,4.68,6.6659,-1.3757179041643317,4.0,0.9227
0.3,4.7,6.629,-1.3565473235138126,4.0,1.0396
0.3,4.72,6.5874,-1.3362990746103518,4.0,1.1612
0.3,4.74,6.5394,-1.3115801779972893,4.0,1.2893
0.3,4.76,6.4818,-1.282329496997738,4.0,1.4268
0.3,4.78,6.4083,-1.2448877336049289,4.0,1.5804
0.3,4.8,6.2994,-1.1877553031996309,4.0,1.7693
0.4,3.4,7.6352,-1.7986028756795485,10.361223383912979,-5.0419
0.4,3.42,7.6347,-1.7986028756795485,10.335237186909728,-4.9614
0.4,3.44,7.6341,-1.7986028756795485,10.308472636480165,-4.8808
0.4,3.46,7.6334,-1.7986028756795485,10.28062616744491,-4.8002
0.4,3.48,7.6327,-1.7958800173440752,10.251416758962458,-4.7194
0.4,3.5,7.6318,-1.7958800173440752,10.220944476323412,-4.6385
0.4,3.52,7.6308,-1.7958800173440752,10.18891161762823,-4.5575
0.4,3.54,7.6297,-1.7958800173440752,10.154883284921505,-4.4764
0.4,3.56,7.6283,-1.7958800173440752,10.118307723414588,-4.395
0.4,3.58,7.6266,-1.7931741239681502,10.076982502401682,-4.3133
0.4,3.6,7.6244,-1.7931741239681502,10.030611864232796,-4.2311
0.4,3.62,7.6216,-1.7904849854573692,9.977563572577152,-4.1483
0.4,3.64,7.6178,-1.7904849854573692,9.91389858450415,-4.0645
0.4,3.66,7.6128,-1.7878123955960423,9.83814357622301,-3.9796
0.4,3.68,7.6065,-1.7825160557860937,9.753606036829046,-3.8932
0.4,3.7,7.5992,-1.779891911959945,9.673647461842938,-3.8059
0.4,3.72,7.5918,-1.7772835288524167,9.612826224846387,-3.7185
0.4,3.74,7.585,-1.7721132953863266,9.563314930041726,-3.6318
0.4,3.76,7.5795,-1.7695510786217261,9.524707611794012,-3.5462
0.4,3.78,7.5749,-1.7670038896078462,9.488959437748713,-3.4616
0.4,3.8,7.5706,-1.764471553092451,9.443153421877831,-3.3773
0.4,3.82,7.5664,-1.764471553092451,9.396495752197566,-3.2931
0.4,3.84,7.5623,-1.7619538968712045,9.349879487231627,-3.209
0.4,3.86,7.5581,-1.7594507517174003,9.303800623765175,-3.1248
0.4,3.88,7.5539,-1.7569619513137056,9.255706582582624,-3.0406
0.4,3.9,7.5495,-1.75448733218585,9.204201405238154,-2.9562
0.4,3.92,7.5449,-1.7520267336381934,9.151277893904123,-2.8716
0.4,3.94,7.54,-1.749579997691106,9.09711842434465,-2.7868
0.4,3.96,7.5348,-1.747146969020107,9.041787318971751,-2.7015
0.4,3.98,7.5292,-1.744727494896694,8.985426474083003,-2.6159
0.4,4.0,7.5237,-1.7423214251308154,8.928242183157309,-2.5304
0.4,4.02,7.5173,-1.7375489102695705,8.869583707713424,-2.4441
0.4,4.04,7.5103,-1.7351821769904636,8.809425028797035,-2.357
0.4,4.06,7.503,-1.7304870557820837,8.747722462035508,-2.2697
0.4,4.08,7.4955,-1.728158393463501,8.684665864025861,-2.1822
0.4,4.1,7.4876,-1.723538195826756,8.620031895126298,-2.0943
0.4,4.12,7.4791,-1.7189666327522726,8.553518940148969,-2.0058
0.4,4.14,7.4701,-1.7144426909922261,8.485579476984679,-1.9168
0.4,4.16,7.4607,-1.709965388637482,8.416806871822944,-1.8274
0.4,4.18,7.4507,-1.705533773838407,8.347525159998689,-1.7374
0.4,4.2,7.4404,-1.6989700043360187,8.277150613963796,-1.6471
0.4,4.22,7.4295,-1.6946486305533763,8.206015876763345,-1.5563
0.4,4.24,7.4182,-1.6882461389442456,8.132259689531045,-1.4649
0.4,4.26,7.4061,-1.6819366650372385,8.053462604925455,-1.3728
0.4,4.28,7.3929,-1.6757175447023074,7.9656719712201065,-1.2796
0.4,4.3,7.3781,-1.6675615400843946,7.863322860120456,-1.1848
0.4,4.32,7.3627,-1.6595558851598817,7.751279103983342,-1.0894
0.4,4.34,7.3486,-1.6536470255493614,7.6414741105041,-0.9953
0.4,4.36,7.3364,-1.645891560852599,7.541579243946581,-0.9031
0.4,4.38,7.3243,-1.640164517660112,7.456366033129043,-0.811
0.4,4.4,7.3115,-1.6345120151091004,7.3692158574101425,-0.7182
0.4,4.42,7.298,-1.6289321377282637,7.281033367247727,-0.6247
0.4,4.44,7.2837,-1.6216020990518623,7.184691430817598,-0.5304
0.4,4.46,7.2683,-1.6143937264016879,7.08278537031645,-0.435
0.4,4.48,7.251,-1.6055483191737838,6.954242509439325,-0.3377
0.4,4.5,7.2282,-1.5934598195660448,6.7558748556724915,-0.2349
0.4,4.52,7.1914,-1.576754126063192,6.278753600952829,-0.1181
0.4,4.54,7.1673,-1.563837352959244,6.0,-0.0141
0.4,4.56,7.1452,-1.5528419686577808,5.778151250383644,0.088
0.4,4.58,7.1227,-1.5421181032660076,5.477121254719663,0.1905
0.4,4.6,7.0999,-1.5316526695878427,5.301029995663981,0.2934
0.4,4.62,7.0784,-1.5199930570428493,5.0,0.3949
0.4,4.64,7.0573,-1.5100415205751654,5.0,0.496
0.4,4.66,7.036,-1.4989407377822486,4.0,0.5973
0.4,4.68,7.0139,-1.4881166390211256,4.0,0.6994
0.4,4.7,6.9907,-1.4762535331884354,4.0,0.8026
0.4,4.72,6.9662,-1.4634415574284698,4.0,0.9071
0.4,4.74,6.9403,-1.4509967379742121,4.0,1.013
0.4,4.76,6.9128,-1.4377071355435254,4.0,1.1205
0.4,4.78,6.8834,-1.4225082001627747,4.0,1.2299
0.4,4.8,6.8517,-1.4067139329795428,4.0,1.3416
0.4,4.82,6.8171,-1.38933983691012,4.0,1.4562
0.4,4.84,6.7785,-1.3695721249749762,4.0,1.5748
0.4,4.86,6.7348,-1.3477536589966768,4.0,1.6985
0.4,4.88,6.6836,-1.322393047279507,4.0,1.8296
0.4,4.9,6.6209,-1.2907300390241692,4.0,1.9724
0.5,3.4,7.8584,-1.8601209135987635,10.201702934751891,-5.1676
0.5,3.42,7.8581,-1.8601209135987635,10.181717852921695,-5.0874
0.5,3.44,7.8578,-1.8601209135987635,10.161047404554632,-5.0071
0.5,3.46,7.8575,-1.8601209135987635,10.139690221652923,-4.9267
0.5,3.48,7.8571,-1.8601209135987635,10.11762919245174,-4.8463
0.5,3.5,7.8566,-1.8601209135987635,10.09434183429012,-4.7658
0.5,3.52,7.856,-1.8601209135987635,10.070078522060516,-4.6853
0.5,3.54,7.8554,-1.8601209135987635,10.04311853309192,-4.6046
0.5,3.56,7.8546,-1.8601209135987635,10.012491337998828,-4.5239
0.5,3.58,7.8537,-1.856985199745905,9.975123786813665,-4.4429
0.5,3.6,7.8525,-1.856985199745905,9.93222509034636,-4.3618
0.5,3.62,7.851,-1.856985199745905,9.878740036824944,-4.2802
0.5,3.64,7.849,-1.856985199745905,9.81500628190395,-4.1982
0.5,3.66,7.8463,-1.853871964321762,9.735558981091422,-4.1156
0.5,3.68,7.8429,-1.853871964321762,9.637999775939676,-4.0322
0.5,3.7,7.8389,-1.85078088734462,9.525912528568073,-3.9481
0.5,3.72,7.8345,-1.8477116556169435,9.443184729150184,-3.8638
0.5,3.74,7.8303,-1.8477116556169435,9.379015286693484,-3.7796
0.5,3.76,7.8265,-1.8446639625349381,9.321287665169864,-3.6958
0.5,3.78,7.8232,-1.8416375079047504,9.26491222459276,-3.6125
0.5,3.8,7.8204,-1.8416375079047504,9.209112703738592,-3.5296
0.5,3.82,7.8177,-1.8416375079047504,9.154089069014422,-3.4469
0.5,3.84,7.8151,-1.8386319977650252,9.099922232196922,-3.3643
0.5,3.86,7.8125,-1.8386319977650252,9.04641711698399,-3.2817
0.5,3.88,7.8098,-1.8356471442155629,8.99361255793889,-3.1991
0.5,3.9,7.8071,-1.8356471442155629,8.94141204037355,-3.1164
0.5,3.92,7.8044,-1.832682665251824,8.889693791444186,-3.0336
0.5,3.94,7.8015,-1.832682665251824,8.838156184752147,-2.9508
0.5,3.96,7.7985,-1.8297382846050425,8.78660947264866,-2.8678
0.5,3.98,7.7954,-1.8297382846050425,8.7346398389877,-2.7847
0.5,4.0,7.7923,-1.826813731587726,8.682325618667807,-2.7015
0.5,4.02,7.7891,-1.826813731587726,8.629409599102718,-2.6183
0.5,4.04,7.7854,-1.8239087409443189,8.575303333422399,-2.5347
0.5,4.06,7.7816,-1.8210230527068305,8.520352504083318,-2.4509
0.5,4.08,7.7778,-1.8210230527068305,8.464191370641,-2.367
0.5,4.1,7.7739,-1.8181564120552274,8.406369835469267,-2.2831
0.5,4.12,7.7698,-1.8153085691824011,8.346352974450639,-2.199
0.5,4.14,7.7654,-1.812479279163537,8.283527364861694,-2.1147
0.5,4.16,7.7608,-1.8096683018297086,8.216429830876251,-2.03
0.5,4.18,7.7559,-1.8096683018297086,8.145817714491828,-1.9451
0.5,4.2,7.7507,-1.8068754016455384,8.071513805095089,-1.86
0.5,4.22,7.7453,-1.8041003475907664,7.995196291597179,-1.7745
0.5,4.24,7.7396,-1.8013429130455774,7.916980047320382,-1.6888
0.5,4.26,7.7337,-1.7958800173440752,7.838219221907626,-1.6029
0.5,4.28,7.7275,-1.7931741239681502,7.7596678446896306,-1.5167
0.5,4.3,7.721,-1.7904849854573692,7.679427896612119,-1.4303
0.5,4.32,7.7143,-1.7878123955960423,7.598790506763115,-1.3435
0.5,4.34,7.7071,-1.7825160557860937,7.518513939877887,-1.2564
0.5,4.36,7.6995,-1.779891911959945,7.437750562820388,-1.1688
0.5,4.38,7.6915,-1.7746907182741372,7.359835482339888,-1.0808
0.5,4.4,7.6831,-1.7721132953863266,7.285557309007774,-0.9924
0.5,4.42,7.6741,-1.7670038896078462,7.212187604403958,-0.9033
0.5,4.44,7.6644,-1.7619538968712045,7.139879086401237,-0.8136
0.5,4.46,7.6541,-1.7569619513137056,7.071882007306125,-0.7233
0.5,4.48,7.6431,-1.749579997691106,7.004321373782642,-0.6324
0.5,4.5,7.6312,-1.744727494896694,6.939519252618618,-0.5405
0.5,4.52,7.6189,-1.7375489102695705,6.869231719730976,-0.4481
0.5,4.54,7.6061,-1.7304870557820837,6.8061799739838875,-0.3553
0.5,4.56,7.5918,-1.723538195826756,6.740362689494244,-0.2611
0.5,4.58,7.5757,-1.7144426909922261,6.672097857935717,-0.165
0.5,4.6,7.558,-1.705533773838407,6.6020599913279625,-0.0673
0.5,4.62,7.5386,-1.6968039425795112,6.531478917042255,0.0322
0.5,4.64,7.5168,-1.6840296545430822,6.447158031342219,0.134
0.5,4.66,7.4927,-1.6716203965612624,6.380211241711606,0.238
0.5,4.68,7.4669,-1.6575773191777938,6.301029995663981,0.3439
0.5,4.7,7.4389,-1.6420651529995463,6.204119982655925,0.4519
0.5,4.72,7.4079,-1.6252516539898962,6.113943352306837,0.5629
0.5,4.74,7.3742,-1.6073030467403342,6.041392685158225,0.6766
0.5,4.76,7.338,-1.58838029403677,5.954242509439325,0.7928
0.5,4.78,7.2992,-1.5670307091255944,5.845098040014257,0.9115
0.5,4.8,7.2603,-1.5466816599529623,5.778151250383644,1.0305
