Mass,logT,logg,logR,logtau,logL
0.5,3.4,7.8672,-1.8664610916297826,9.826741936775862,-5.1747
0.5,3.42,7.8672,-1.8664610916297826,9.810756582007507,-5.0947
0.5,3.44,7.8672,-1.8664610916297826,9.793692622518671,-5.0147
0.5,3.46,7.8672,-1.8664610916297826,9.776679396093297,-4.9347
0.5,3.48,7.8672,-1.8664610916297826,9.75994721387319,-4.8547
0.5,3.5,7.8671,-1.8664610916297826,9.743188236463073,-4.7746
0.5,3.52,7.8671,-1.8664610916297826,9.726238046802637,-4.6946
0.5,3.54,7.867,-1.8664610916297826,9.708684286570366,-4.6145
0.5,3.56,7.867,-1.8664610916297826,9.690027647469964,-4.5344
0.5,3.58,7.8669,-1.8664610916297826,9.669595781024313,-4.4544
0.5,3.6,7.8667,-1.8664610916297826,9.647343842723098,-4.3742
0.5,3.62,7.8666,-1.8664610916297826,9.623300989044697,-4.2941
0.5,3.64,7.8664,-1.8664610916297826,9.598495042273587,-4.2139
0.5,3.66,7.8662,-1.8664610916297826,9.57397335793606,-4.1337
0.5,3.68,7.866,-1.8632794328435933,9.544278936171903,-4.0535
0.5,3.7,7.8657,-1.8632794328435933,9.512991068415214,-3.9732
0.5,3.72,7.8654,-1.8632794328435933,9.481972631563957,-3.8929
0.5,3.74,7.8651,-1.8632794328435933,9.446459496594692,-3.8126
0.5,3.76,7.8647,-1.8632794328435933,9.409172018991404,-3.7322
0.5,3.78,7.8642,-1.8632794328435933,9.36823108331113,-3.6517
0.5,3.8,7.8636,-1.8632794328435933,9.319564066092164,-3.5711
0.5,3.82,7.8629,-1.8632794328435933,9.263494041721883,-3.4904
0.5,3.84,7.8621,-1.8632794328435933,9.206340057780066,-3.4096
0.5,3.86,7.861,-1.8632794328435933,9.159777672787248,-3.3285
0.5,3.88,7.8598,-1.8601209135987635,9.107345665472094,-3.2473
0.5,3.9,7.8583,-1.8601209135987635,9.049566869164652,-3.1657
0.5,3.92,7.8563,-1.8601209135987635,8.984122082861111,-3.0838
0.5,3.94,7.854,-1.8601209135987635,8.911796590437252,-3.0015
0.5,3.96,7.8513,-1.856985199745905,8.835373452470009,-2.9188
0.5,3.98,7.8483,-1.856985199745905,8.759818877374826,-2.8358
0.5,4.0,7.8454,-1.853871964321762,8.692141609366784,-2.7529
0.5,4.02,7.8427,-1.853871964321762,8.631849462159819,-2.6702
0.5,4.04,7.8401,-1.85078088734462,8.575534218319865,-2.5876
0.5,4.06,7.8375,-1.85078088734462,8.520352504083318,-2.505
0.5,4.08,7.8349,-1.85078088734462,8.465085287557432,-2.4224
0.5,4.1,7.8322,-1.8477116556169435,8.409087369447835,-2.3397
0.5,4.12,7.8295,-1.8477116556169435,8.351216345339342,-2.2569
0.5,4.14,7.8265,-1.8446639625349381,8.291146761731886,-2.174
0.5,4.16,7.8233,-1.8446639625349381,8.228143607597742,-2.0908
0.5,4.18,7.8199,-1.8416375079047504,8.161966616364074,-2.0074
0.5,4.2,7.8162,-1.8386319977650252,8.09236969962912,-1.9237
0.5,4.22,7.8122,-1.8386319977650252,8.018700498666243,-1.8397
0.5,4.24,7.8078,-1.8356471442155629,7.942008053022313,-1.7553
0.5,4.26,7.803,-1.832682665251824,7.862131379313037,-1.6705
0.5,4.28,7.7979,-1.8297382846050425,7.779596491257824,-1.5854
0.5,4.3,7.7925,-1.8297382846050425,7.694605198933568,-1.5
0.5,4.32,7.7868,-1.826813731587726,7.61066016308988,-1.4143
0.5,4.34,7.7808,-1.8210230527068305,7.5276299008713385,-1.3283
0.5,4.36,7.7743,-1.8181564120552274,7.447158031342219,-1.2418
0.5,4.38,7.7681,-1.8153085691824011,7.372912002970106,-1.1556
0.5,4.4,7.762,-1.812479279163537,7.301029995663981,-1.0694
0.5,4.42,7.7555,-1.8096683018297086,7.235528446907549,-0.983
0.5,4.44,7.7487,-1.8068754016455384,7.1702617153949575,-0.8962
