Mass,logT,logg,logR,logtau,logL
0.2,4.286622240241442,5.80515396,-1.0330281685164429,5.6020599913279625,0.035101282706533544
0.2,4.291596020738743,5.85115968,-1.056031028516443,5.903089986991944,0.008990738327056852
0.2,4.296291534117563,5.89235457,-1.0766284735164429,6.079181246047625,-0.013422113176652201
0.2,4.300458213839126,5.93001883,-1.0954606035164425,6.204119982655925,-0.03441963501630215
0.2,4.304067509432182,5.96480087,-1.112851623516443,6.301029995663981,-0.054764555814887796
0.2,4.307154623164656,5.99712194,-1.129012158516443,6.380211241711606,-0.07473709180961376
0.2,4.308015746334645,6.00692587,-1.1339141235164427,6.402123246243354,-0.08109663159944541
0.2,4.308806678029578,6.0162981,-1.1386002385164429,6.4225222120139005,-0.08730509061717606
0.2,4.309589378020374,6.02584173,-1.1433720535164427,6.442795105998392,-0.09371788694635906
0.2,4.310348681364212,6.0354234,-1.1481628885164428,6.462671517272996,-0.10026237978119419
0.2,4.311079651922906,6.0450047,-1.1529535385164424,6.482103027740418,-0.10691977457103752
0.2,4.311779483674327,6.05457561,-1.1577389935164426,6.501102278531275,-0.11369127827448064
0.2,4.31244860206212,6.06412752,-1.162514948516443,6.5196790485285225,-0.12056674294287965
0.2,4.313081241903006,6.07361567,-1.1672590235164426,6.537775789348497,-0.12752435153236405
0.2,4.3136698055308464,6.08290736,-1.1719048685164428,6.555179847397102,-0.13446178150514726
0.2,4.314222608200852,6.09213678,-1.1765195785164424,6.5721791985261975,-0.1414800877140795
0.2,4.314740738430199,6.10132312,-1.1811127485164428,6.588832173320246,-0.14859386916750933
0.2,4.315224243703162,6.11047934,-1.185690858516443,6.605182823003083,-0.15581604828290196
0.2,4.31567271400872,6.11959289,-1.1902476335164427,6.621226773365702,-0.16313575190466442
0.2,4.316084396771685,6.12863503,-1.1947687035164427,6.63693349653697,-0.17053120678840558
0.2,4.316459398190654,6.13759558,-1.1992489785164429,6.652304275311502,-0.17799170555718982
0.2,4.316796131364136,6.14643541,-1.2036688935164426,6.6672904122840055,-0.18548451731851784
0.2,4.3171092033349705,6.1555744,-1.2082383885164427,6.68261369896942,-0.19337123600337613
0.2,4.3173852731117695,6.16467666,-1.2127895185164426,6.697712379260256,-0.20136919559060704
0.2,4.317623458011926,6.17372889,-1.2173156335164423,6.712579080949596,-0.20946869453717115
0.2,4.317823323040641,6.18272935,-1.2218158635164424,6.727224448111986,-0.21766968225644237
0.2,4.317985148654613,6.19167691,-1.2262896435164428,6.741658583992397,-0.2259699115443078
0.2,4.31810985000419,6.20057427,-1.2307383235164426,6.75589626510081,-0.23436861551645694
0.2,4.318196352770319,6.20942818,-1.2351652785164424,6.769959909017655,-0.24287638123352223
0.2,4.318244264439301,6.21823244,-1.239567408516443,6.783849789141604,-0.25148915981556214
0.2,4.3182552757578865,6.22699021,-1.243946293516443,6.797577877750283,-0.2602028761339011
0.2,4.318228757124106,6.23570775,-1.248305063516443,6.811163102110606,-0.2690265006067139
0.2,4.318164071246757,6.24438203,-1.2526422035164424,6.824609083818871,-0.277959527601234
0.2,4.318062387030502,6.25299968,-1.2569510285164427,6.8379014214513685,-0.28698371275598433
